4EFB,5408,5728,5B57,56E0,5411
0.0002996899660695641,1.061962278272865e-08,3.137773493241938e-10,2.783654576026133e-12,0.0001838768890879326,0.05308077988547724
7.888247926278118e-06,2.177842291560589e-06,1.731611898135288e-09,1.081583382032846e-16,1.948053537173311e-07,0.06458547389533865
8.273722326095054e-05,5.0812847168382e-06,9.039874979762879e-09,1.29475613080425e-08,1.780468301588342e-11,0.05858056196342737
9.762648755236425e-05,1.734014485985733e-09,8.727405214846779e-06,7.125456866033637e-06,5.79460838915724e-07,0.05606737163135234
1.760773116957099e-10,6.478941418604658e-09,6.418690649976705e-07,3.227249751030448e-12,6.379323805473273e-06,0.0544675874835843
0.0005309126816352581,3.610446074619303e-06,1.214032266753076e-06,1.599240473815073e-05,6.157524842687013e-07,0.05201346947291013
7.679582029444829e-10,1.221199605484763e-09,2.641491975398304e-06,6.40261372869883e-06,2.330299313174194e-05,0.05004717649223784
1.632094367191824e-05,1.946589936990435e-08,1.028798891536745e-06,3.116281625178927e-09,8.824433098836983e-06,0.05284946816432259
3.391216005226855e-06,2.531956949425718e-06,3.380950246292038e-06,1.992324224924491e-07,8.001013594781479e-05,0.05209119300980148
1.685767178233277e-06,1.238718776413558e-07,4.326260357857956e-11,7.700038293946345e-29,8.785788053493489e-08,0.06556733900560943
9.57009794108733e-10,1.724559865122454e-08,1.301769108180574e-07,1.246696214487092e-07,2.213209055832438e-08,0.05301228407486283
3.049775723056559e-09,1.877864148730253e-07,1.100878741773031e-06,2.029631585890854e-11,5.83128926842156e-06,0.06022222598117102
5.20463400150009e-10,1.218636047981048e-08,4.802737525105392e-08,6.271905480192133e-18,5.213485975537396e-07,0.0003167210363886049
4.142507160112797e-05,3.828855686310504e-09,1.224467143712096e-11,8.919810276548575e-29,2.887306228184359e-07,0.05204822381188063
1.666977910997377e-06,1.807819186533409e-08,2.265406760270446e-09,6.713753243416082e-21,2.208967717805897e-06,0.05901379161550385
0.0002340426576443749,8.541588379751907e-10,3.149749973187563e-15,3.227796696990227e-20,9.578157483303032e-06,0.05419098896523748
0.0004593796653197936,2.476760241364744e-06,4.835454348771535e-07,1.422144930416217e-11,2.219025070596644e-05,0.005961939979962469
1.766721457415241e-07,2.848806493126256e-07,4.792287170090415e-08,1.562102028150239e-11,8.410144564948503e-07,0.05407940827879559
3.083458096141803e-05,8.536283051359763e-08,4.442836404051968e-07,0.001875687861271749,5.171645936692869e-08,0.05373023789190042
8.283025538667535e-06,3.165610682177014e-07,1.326606427935921e-05,2.744774455983414e-13,0.0001031334413700897,0.05631726197654965
1.037232960615088e-05,3.813580949439793e-10,7.312409589569232e-07,3.309550441951217e-15,1.572484594852448e-05,0.05849244471648939
5.351472796334955e-10,2.806225355401717e-07,5.437289904114119e-08,5.703554886917265e-17,1.931849298676145e-06,0.05331761440979296
2.147499482273466e-05,0.001524602678477281,2.165841879344958e-08,1.580045278183407e-13,8.339532383729983e-05,0.05176131772373206
2.106260022379818e-05,6.139264301850743e-09,2.631395410341934e-10,2.276926139410398e-06,1.217770800475418e-05,0.06384832813593289
8.078240664327283e-06,1.421604877521652e-17,3.573007055140331e-14,4.473649926313573e-13,6.553620376343694e-08,0.05140597654520467
