4EFB,5408,5728,5B57,56E0,5411
2.849948324516522e-05,8.649890955936242e-09,9.837643512391254e-08,0.05886062888094269,5.692787344220468e-14,7.402225572773748e-06
5.03023112210831e-12,6.632271633401964e-07,1.697284114274479e-08,0.06522822181410756,3.49923703086452e-07,0.001008577924090373
4.834334397281582e-05,1.740647069797918e-13,6.395951701932495e-06,0.05358736722053666,0.0001111366083052581,8.163386569329255e-08
1.988226957670248e-06,4.00027671066933e-07,9.402630097253913e-06,0.0502381361864913,1.337186053501322e-07,0.0001311680860356746
0.001077095789447928,4.115984464159184e-09,1.37812509848595e-07,0.05348453799785745,2.831305090381858e-07,0.0001890201824787995
1.333322411769659e-08,6.528308883754229e-08,2.948383980215474e-07,0.05320764547003349,4.870885764157776e-11,0.0001833349402851413
2.667643570019688e-08,2.563512153163039e-14,3.99228422777685e-08,0.06257789713159545,2.372222950714201e-09,1.978172762947938e-06
3.672831089015238e-09,1.513058904709744e-06,1.004747381304256e-08,0.0007873639761255243,6.723161167357572e-07,5.269314606987139e-05
9.630046766998229e-09,2.591697452805957e-08,8.771434271941047e-09,0.05030428304107674,2.841684527103792e-07,5.764104787135938e-05
1.25283522274024e-08,1.209264043707056e-09,6.292360669054029e-11,0.05122895055690448,3.166998200768819e-11,2.284448350616101e-07
4.418846719118418e-05,0.001253749244270943,0.000177672955406706,0.0001884086609219567,1.243738194914244e-05,6.923252268944455e-05
1.647782222413997e-08,3.7946931201179e-09,9.497016834152682e-07,0.05421454598166871,1.445974468568993e-05,1.087561486629392e-07
1.314913865962067e-11,1.660778086693384e-06,6.595843534909345e-08,0.0730019301532357,8.491358640192922e-07,1.077926911701751e-05
5.232972008753591e-05,2.242120326590003e-06,8.383056891565659e-08,0.05004399628842138,1.825336367319251e-07,0.0001713860106237428
0.0005670386967056679,1.836629092532653e-05,6.770941308937379e-06,0.05078574159090524,4.040534966640285e-06,0.0001674364136608783
7.436210028549721e-08,1.499764529767261e-09,2.773800582773053e-06,0.07313836536273481,8.059275753017759e-05,4.858286956037541e-06
3.877886732988797e-06,3.116948818124265e-11,6.114706436200294e-07,0.0668208786072143,8.019369345697905e-09,1.402998537682452e-06
2.409610814233481e-07,3.189674106569632e-07,3.540095605564405e-07,0.06197942232832258,4.862156056559006e-09,2.152409316507376e-06
4.350612962396203e-08,2.16275997794506e-09,1.261835237618853e-09,0.05453826070163415,1.015523442718512e-08,6.156655314860161e-06
9.50541420272501e-07,2.557718823691553e-10,8.65338895999103e-05,0.05001225682368182,0.0006197411519830177,4.441853893433625e-05
2.616546521454133e-06,4.455176513689631e-10,2.121942559649948e-08,0.05908094319029238,1.75425780410238e-06,1.464069150570118e-05
1.478464156509178e-08,4.394862852389888e-09,1.414487296888459e-07,0.05053436889587129,5.103940993317128e-06,2.768041004947707e-08
4.495950527451763e-05,9.149036504724354e-05,4.030691310734673e-06,0.05629692355086215,1.091546919303045e-08,1.471561117611378e-05
9.410077487571041e-28,5.698443346428255e-15,5.223941656472659e-09,0.05468165280958676,1.760695530159425e-08,3.55021741083882e-11
0.0002464561586815686,5.07586993502887e-09,1.838004531302991e-05,0.0080937989731609,5.623102720569825e-08,6.510622813433324e-05
1.323793748682415e-15,3.182805337293341e-09,7.439443116306244e-08,0.05245270864551537,2.781963713190593e-06,6.499949300688955e-05
4.062654007981826e-16,2.831254697388942e-12,4.886010197954274e-09,0.0596506213870262,6.303922646519956e-08,7.294843018511761e-06
0.0001281681894997518,3.683044201027913e-08,3.37950268085809e-07,0.05272660510665799,4.66557248368358e-06,2.780481042174227e-06
2.796576019826301e-09,5.568880922652582e-15,2.962316265351476e-09,0.05033013556038876,5.199832027712969e-07,0.0005142633527595845
2.737627703143419e-08,2.924009006456038e-09,3.18904397763621e-08,0.05196096476808727,1.597873553161231e-08,0.0004862914062878355
3.703572299253505e-13,3.953685043771399e-11,6.215404444290934e-09,0.05598712200628101,7.14589217139652e-08,3.308862424295763e-06
3.775152170560501e-17,4.196194317596431e-06,1.401056004679576e-14,0.05536141856659139,5.885981039802686e-16,1.841528860932727e-10
1.054213838417525e-07,7.638640197967813e-10,6.435949962563069e-11,0.0509018402225657,2.991361678574476e-06,1.974448538065578e-05
5.479706410857402e-07,5.450842521035028e-10,5.640738864008854e-06,0.05045011603797685,3.362560580673788e-05,0.000125447269194972
4.673279758676385e-08,8.432879484699666e-09,3.233156960099372e-06,0.05467632498579925,2.612441255981556e-06,1.140083962547849e-06
1.246856308710643e-16,2.347690875748706e-11,1.074840053971021e-07,0.06655125233988665,6.876115375221301e-08,4.481497675749619e-06
4.976343682654214e-08,8.555294240374772e-08,1.648226120924957e-08,0.05719452035290316,5.174311421413763e-05,7.771187848309936e-06
